# 098 - Frequent Words

|rod|rɒd|прут, стержень
|occupy|ˈɒkjʊpaɪ|занимать (место, должность, и т.п.), оккупировать
|sack|sæk|мешок, (редко) класть в мешок, выгонять с работы
|suicide|ˈsu:ɪsaɪd|самоубийство
|funeral|ˈfju:nərəl|похороны, похоронный
|lesson|ˈlesn|урок
|ginger|ˈʤɪnʤə|приподнятое настроение, рыжеволосый (человек)
|gin|ʤɪn|джин
|prevent|prɪˈvent|предотвращать, предупреждать, препятствовать
|occasion|əˈkeɪʒn|случай, с обытие, повод
|meanwhile|ˈmi:nwaɪl|тем временем
|chilli|ˈʧɪlɪ|острый перец
|fur|fɜ:|мех
|garbage|ˈɡɑ:bɪʤ|отбросы, мусор
|tangle|ˈtæŋɡl|путаница, спутывать(ся), запутывать(ся)
|peek|pi:k|взгляд украдкой, взглянутьь, амер. n - писк, пищать
|rape|reɪp|изнасилование, изнасиловать
|ram|ræm|баран, таран, таранить, вдалбливать
|social|ˈsəʊʃl|общественный, соци альный
|ordinary|ˈɔ:dɪnrɪ|обычный
|modern|ˈmɒdn|современный
|lion|ˈlaɪən|лев
|agreement|əˈɡri:mnt|согласие, соглашение, договор
|homicide|ˈhɒmɪsaɪd|убийство
|thump|θʌmp|тяжелый удар (кулаком), наносить тяжелый удар
