# 100 - Frequent Words

|lone|ləʊn|одинокий, уединенный
|excellent|ˈekslnt|превосходный, отличный
|pose|pəʊz|поза, позировать, создавать (проблему)
|atmosphere|ˈætməsfɪə|атмосфера
|available|əˈveɪləbl|имеющийся, наличный, доступный
|apologize|əˈpɒləʤaɪz|извиняться
|snort|snɔ:t|фыркать, пыхтеть
|international|ɪntəˈnæʃnl|международный
|sexual|ˈsekʃʊəl|половой, сексуальный
|highly|ˈhaɪlɪ|очень, весьма, чрезвычайно, высоко
|drape|dreɪp|украшать тканями, драпировать
|pavement|ˈpeɪvmnt|тротуар, амер. мостовая
|lighter|ˈlaɪtə|зажигалка, запал
|cuff|kʌf|манжета, обшлаг, надеть наручники
|boyfriend|ˈbɔɪfrend|друг, приятель (девушки)
|bind|baɪnd|(bəʊnd, bound [baʊnd]) связывать, переплетать
|plead|pli:d|просить, умолять
|sting|stɪŋ|(stung, stung [stʌŋ]) жалить, мучить, укус
|loom|lu:m|неясно вырисовываться, мираж
|responsible|rɪˈspɒnsɪbl|ответственный (перед кем-л., за что-л.)
|assignment|əˈsaɪnmnt|назначение, задание
|express|ɪkˈspres|выражать, определенный, срочный
|defeat|dɪˈfi:t|поражение, крушение, побеждать, разрушать
|underground|ʌndəˈɡraʊnd|метро, подземный, [ˌʌndəˈgraʊnd] под землей
|custom|ˈkʌstəm|обычай, привычка, ~s таможня
