# 059 - Frequent Words

|presence|ˈprezns|присутствие
|drawer|drɔ:|ящик (стола, комода)
|thumb|θʌm|большой палец (руки), выступ, захватывать, уминать
|favour|ˈfeɪvə|благосклонность, благоволить
|march|mɑ:ʧ|March март, марш, переход, маршировать
|create|kri:ˈeɪt|творить, создавать
|jam|ʤæm|затор, давка, набивать(ся) битком, варенье, джем
|danger|ˈdeɪn(d)ʒə|опасность
|respond|rɪˈspɒnd|отвечать, отзываться, реагировать
|summer|ˈsʌmə|лето
|assistant|əˈsɪstnt|ассистент
|massive|ˈmæsɪv|массивный
|century|ˈsenʧʊrɪ|век, столетие
|shatter|ˈʃætə|разбить(ся) вдребезги, расстраивать (здоровье)
|female|ˈfi:meɪl|женский, женщина
|strain|streɪn|натягивать(ся), напрягать(ся)
|justice|ˈʤʌstɪs|правосудие
|project|ˈprɒʤekt|проект, план, [prəˈʤekt] проектировать
|emergency|ɪˈmɜ:ʤnsɪ|крайняя необходимость, критическое положение
|customer|ˈkʌstəmə|покупатель, клиент
|pad|pæd|подушка, блокнот
|collapse|kəˈlæps|обвал, крах, рушиться, терпеть неудачу/крах
|arrest|əˈrest|арест, арестовывать
|trick|trɪk|хитрость, обман, фокус, трюк, обманывать
|series|ˈsɪəri:z|ряд, серия
