# 010 - Frequent Words

|enough|ɪˈnʌf|достаточно
|phone|fəʊn|телефон, звонить по телефону
|body|ˈbɒdɪ|тело
|same|seɪm|тот же самый
|minute|ˈmɪnɪt|минута
|shake|ʃeɪk|(shook [ʃuk], shaken [ˈʃeɪkn]) трясти(сь)
|water|ˈwɔ:tə|вода
|fire|ˈfaɪə|огонь, пожар, стрелять, поджигать
|inside|ɪnˈsaɪd|внутренний, внутри, внутрь
|break|breɪk|(broke [brəʊk], broken [brəʊkn]) ломать(ся), перерыв
|ever|ˈevə|когда-либо
|follow|ˈfɒləʊ|следовать (за)
|second|ˈseknd|секунда, второй
|nod|nɒd|кивать головой, кивок
|meet|mi:t|(met, met) встречать(ся), знакомиться
|great|ɡreɪt|большой, великий
|yeah|jeə|от yes - да
|each|i:ʧ|каждый, всякий
|mind|maɪnd|разум, мнение
|suddenly|ˈsʌdnlɪ|вдруг
|dead|ded|мертвый
|almost|ˈɔ:lməʊst|почти
|gun|ɡʌn|огнестр. оружие
|both|bəʊθ|оба
|speak|spi:k|(spoke [spəʊk], spoken [spəʊkn]) говорить
