# 084 - Frequent Words

|gene|ʤi:n|биол. ген
|candle|ˈkændl|свеча
|toy|tɔɪ|игрушка
|estate|ɪˈsteɪt|имущество, состоян ие, поместье, сословие
|marriage|ˈmærɪʤ|женитьба, замужество, брак, свадьба
|complex|ˈkɒmpleks|комплекс, сложный
|passage|ˈpæsɪʤ|проход, проезд, отрывок (из книги)
|crane|kreɪn|журавль, подъемный кран, вытягивать (шею)
|drum|drʌm|барабан, стучать, барабанить (пальцами)
|overlook|əʊvəˈlʊk|возвышаться над, смотреть сверху на
|favourite|ˈfeɪvrɪt|любимец, любимый
|chill|ʧɪl|холод, п ростуда, холодный, охлаждать
|desire|dɪˈzaɪə|(сильное) желание, желать, хотеть
|score|skɔ:|зарубка, метка, счет, делать метки, вести счет (в игре)
|executive|ɪɡˈzekjətɪv|исполнительная власть, администратор
|mental|ˈmentl|умственный
|loudly|laʊdli|громко
|loss|lɒs|потеря, утрата, ущерб
|link|lɪŋk|звено (цепи), связующ. звено, связь, соединять
|sway|sweɪ|качать(ся)
|deny|dɪˈnaɪ|о трицать, отвергать, отказывать(ся)
|steer|stɪə|управлять (судном, авт. и т.п.), направлять
|purple|ˈpɜ:pl|пурпурный, фиолетовый, лиловый
|jeans|ʤi:nz|джинсы
|armour|ˈɑ:mə|доспехи, броня, п окрывать броней
