# 081 - Frequent Words

|wagon|ˈwæɡn|повозка, фургон
|rocket|ˈrɒkɪt|ракета, выпускать ракету, взлетать
|fighter|ˈfaɪtə|боец, борец
|tug|tʌɡ|тянуть с усилием, дергать изо всех сил
|item|ˈaɪtəm|предмет, вещь (из списка), пункт, параграф
|embrace|ɪmˈbreɪs|объятие, объятия, обнимать(ся)
|lover|ˈlʌvə|любитель, любовник, возлюбленный
|brilliant|ˈbrɪljnt|блестящий
|waitress|ˈweɪtrɪs|официантка
|splash|splæʃ|брызги, плеск, брызгать(ся), плескать(ся)
|structure|ˈstrʌkʧə|сооружение, строение, структура, устройство
|desperate|ˈdespərətlɪ|отчаянно, безнадежно, крайне, очень
|poison|ˈpɔɪzn|яд, отравлять
|flood|flʌd|наводнение, поток, затоплять, наводнять
|arsehole|ˈɑ:shəʊl|задница
|peel|pi:l|кожура, снимать кожуру, облезать (о краске, коже)
|according|əˈkɔ:dɪŋ|~ to согласно, в соответствии с
|blaze|bleɪz|пламя, перен. вс пышка, пылать, гореть (тж. перен.)
|goodbye|ɡʊdˈbaɪ|до свидания!, прощай(те)!
|height|haɪt|высота, вершина, рост (чел. и т.д.), высшая степень
|swirl|swɜ:l| кружить(ся), обвивать
|retreat|rɪˈtri:t|отступление, убежище, приют, отступать, уходить
|insert|ɪnˈsɜ:t|вставлять
|streak|stri:k|полоска, жилка, проводить полосы, мелькать
|pure|pjʊə|чистый, без примеси
