# 046 - Frequent Words

|bastard|ˈbɑ:stəd|незаконнорожденный ребенок, ублюдок
|fool|fu:l|дурак, (о)дурачить
|fold|fəʊld|складка, сгиб, складывать(ся), сгибать(ся)
|twelve|twelv|двенадцать
|evidence|ˈevɪdns|свидетельство, доказательство, улика
|bus|bʌs|автобус
|brief|bri:f|резюме, краткий, кратко излагать
|tap|tæp|кран (водопр. и т.п.), стук, легкий удар, постучать
|drift|drɪft|медленное течение, дрейфовать, бездействовать
|prove|pru:v|доказывать, подтверждать, оказываться
|personal|ˈpɜ:snl|личный
|rub|rʌb|тереть(ся), натирать
|interrupt|ɪntəˈrʌpt|прерывать
|brush|brʌʃ|щетка, кисть, чистить (щеткой)
|rope|rəʊp|веревка, канат, трос
|alarm|əˈlɑ:m|тревога, поднять тревогу
|aware|əˈweə|сознающий, знающий
|east|i:st|восток, восточный
|terrible|ˈterɪbl|страшный
|tip|tɪp|кончик, давать «на чай»
|spring|sprɪŋ|весна, (sprang [spræŋ], sprung [sprʌŋ]) прыгать
|protect|prəˈtekt|защищать
|involve|ɪnˈvɒlv|вовлекать
|whip|wɪp|кнут, хлестать
|lunch|lʌn(t)ʃ|ленч, второй завтрак
