# 122 - Mots fréquents

|creuser|kʁøze|углублять
|la allusion|a(l)lyzjɔ̃|намёк
|le lancement|lɑ̃smɑ̃|метание
|le porteur|pɔʁtœʁ, -øz|носильщик
|préalable|pʁealabl|предварительный
|programmer|pʁɔgʁame|программировать
|traîner|tʁene|тянуть
|le domicile|dɔmisil|жилище
|le oiseau|wazo|птица
|quarante|kaʁɑ̃t|сорок
|le sacrifice|sakʁifis|жертва
|la barrière|baʁjɛʁ|застава
|biais|bjɛ, -z|скошенный
|la feuille|fœj|лист
|la délégation|delegasjɔ̃|делегация
|épuiser|epɥize|израсходовать
|le champion|ʃɑ̃pjɔ̃, -jɔn|чемпион
|librement|libʁəmɑ̃|свободно
|le congé|kɔ̃ʒe|отпуск
|la taxe|taks|такса, оплата
