# 145 - Mots fréquents

|redevenir|ʁ(ə)dəvniʁ|делаться (вновь)
|crucial|kʁysjal, -jo|критический
|la marine|maʁin|флот
|le cadavre|kadɑvʁ|труп
|le fleuve|flœv|река
|le toit|twa|крыша
|mécanique|mekanik|механический
|la transparence|tʁɑ̃spaʁɑ̃s|прозрачность
|amorcer|amɔʁse|наживлять
|détester|detɛste|ненавидеть
|le fondateur|fɔ̃datœʁ, -ʁis|основатель
|la charte|ʃaʁt|хартия
|la productivité|pʁɔdyktivite|продуктивность
|la succession|syksesjɔ̃|последовательность
|simplifier|sɛ̃plifje|упрощать
|briller|bʁije|блестеть
|ambitieux|ɑ̃bisjø, -jøz|амбициозный
|sale|sal|грязный
|le consentement|kɔ̃sɑ̃tmɑ̃|согласие
|le chapeau|ʃapo|шляпа
