# 212 - Mots fréquents

|standard|stɑ̃daʁ|стандарт
|le taxi|taksi|такси
|la limitation|limitasjɔ̃|ограничение
|irréversible|iʁevɛʁsibl|необратимый
|fatal|fatal|фатальный
|furieux|fyʁjø, -jøz|яростный
|verbal|vɛʁbal, -o|словесный
|contacter|kɔ̃takte|сконтактироваться
|le commissariat|kɔmisaʁja|комиссариат
|gai|gɛ|весёлый
|la confrontation|kɔ̃fʁɔ̃tasjɔ̃|конфронтация
|chier|ʃje|испражняться
|atlantique|atlɑ̃tik|атлантический
|rude|ʁyd|грубый
|le panneau|pano|панель
|la appréciation|apʁesjasjɔ̃|оценка
|réflexe|ʁeflɛks|рефлекс
|le complément|kɔ̃plemɑ̃|дополнение
|initialement|inisjalmɑ̃|вначале
|le comédien|kɔmedjɛ̃, -jɛn|актёр
