# 237 - Mots fréquents

|vêtir|vetiʁ|одевать
|le trottoir|tʁɔtwaʁ|тротуар
|le vieillard|vjɛjaʁ|старик
|la fillette|fijɛt|девочка
|enchanter|ɑ̃ʃɑ̃te|очаровывать
|le singe|sɛ̃ʒ|обезьяна
|superficiel|sypɛʁfisjɛl|поверхностный
|rigide|ʁiʒid|твёрдый
|démographique|demɔgʁafik|демографический
|la fourniture|fuʁnityʁ|поставка
|taxer|takse|оценивать
|la milice|milis|ополчение
|la foire|fwaʁ|ярмарка
|élégant|elegɑ̃, -t|элегантный
|la crème|kʁɛm|сливки
|la mentalité|mɑ̃talite|ментальность
|la charité|ʃaʁite|милосердие
|la borne|bɔʁn|край, предел
|organique|ɔʁganik|органический
|dévouer|devwe|посвящать
