# 047 - Mots fréquents

|appuyer|apɥije|нажимать
|la liste|list|список
|rentrer|ʁɑ̃tʁe|возвращаться
|la mémoire|memwaʁ|память
|le caractère|kaʁaktɛʁ|характер
|détruire|detʁɥiʁ|разрушать
|civil|sivil|гражданский
|la nécessité|nesesite|необходимость
|le juin|ʒɥɛ̃|июнь
|le danger|dɑ̃ʒe|опасность
|complexe|kɔ̃plɛks|сложный
|le commerce|kɔmɛʁs|торговля
|le transport|tʁɑ̃spɔʁ|перевозка
|la attente|atɑ̃t|ожидание
|la institution|ɛ̃stitysjɔ̃|учреждение
|la défense|defɑ̃s|защита
|le janvier|ʒɑ̃vje|январь
|échapper|eʃape|избегать
|la négociation|negɔsjasjɔ̃|переговоры
|franc|fʁɑ̃, fʁɑ̃k|откровенно
