# 006 - Mots fréquents

|seul|sœl|один
|la année|ane|год
|toujours|tuʒuʁ|всегда
|tenir|t(ə)niʁ|держать
|porter|pɔʁte|нести
|parler|paʁle|говорить
|fort|fɔʁ, -t|сильный
|montrer|mɔ̃tʁe|показывать
|là|la|там
|certain|sɛʁtɛ̃, -ɛn|достоверный
|la fin|fɛ̃|конец
|tu|ty|ты
|continuer|kɔ̃tinɥe|продолжать
|le pays|pei|страна
|trois|tʁwɑ|три
|penser|pɑ̃se|думать
|le lieu|ljø|место
|la partie|paʁti|часть
|quand|kɑ̃|когда
|suivre|sɥivʁ|следовать
