# 014 - Mots fréquents

|économique|ekɔnɔmik|экономический
|la mesure|m(ə)zyʁ|измерение
|la histoire|istwaʁ|история
|haut|ˈo, -t|высокий
|ensuite|ɑ̃sɥit|затем
|la guerre|gɛʁ|война
|la loi|lwa|закон
|le président|pʁezidɑ̃, -t|председатель
|exister|ɛgziste|существовать
|sûr|syʁ|верный
|refuser|ʁ(ə)fyze|отказывать
|plutôt|plyto|скорее
|le bureau|byʁo|офис
|mauvais|mɔvɛ, -z|плохой
|quant|kɑ̃, -t|сколько
|la mort|mɔʁ|смерть
|mal|mal|дурной
|lire|liʁ|читать
|réussir|ʁeysiʁ|удаваться
|le marché|maʁʃe|рынок
