# 179 - Mots fréquents

|mince|mɛ̃s|тонкий
|assimiler|asimile|уподоблять
|la plume|plym|перо
|publicitaire|pyblisitɛʁ|рекламный
|incarner|ɛ̃kaʁne|воплощать
|opter|ɔpte|выбирать
|habiller|abije|одевать
|le trajet|tʁaʒɛ|траектория
|sinistre|sinistʁ|зловещий
|le pis|pi|вымя
|reconstruire|ʁ(ə)kɔ̃stʁɥiʁ|реконструировать
|le tueur|tɥœʁ, -øz|убийца
|le tournoi|tuʁnwa|турнир
|le cimetière|simtjɛʁ|кладбище
|la douane|dwan|таможня
|domestique|dɔmɛstik|домашний
|soucieux|susjø, -jøz|встревоженный
|premièrement|pʁəmjɛʁmɑ̃|во-первых
|la complicité|kɔ̃plisite|сообщничество
|décréter|dekʁete|декретировать
