# 036 - Mots fréquents

|le matériel|mateʁjɛl|материальный
|cent|sɑ̃|сто
|constater|kɔ̃state|констатировать
|prononcer|pʁɔnɔ̃se|произносить
|le signe|siɲ|знак
|blanc|blɑ̃, -ʃ|белый
|la origine|ɔʁiʒin|начало
|vendre|vɑ̃dʁ|продавать
|vite|vit|скорый
|la langue|lɑ̃g|язык
|dangereux|dɑ̃ʒʁø, -øz|опасный
|déplacer|deplase|перемещать
|la importance|ɛ̃pɔʁtɑ̃s|важность
|suffire|syfiʁ|быть достаточным
|le espoir|ɛspwaʁ|надежда
|davantage|davɑ̃taʒ|больше
|saisir|seziʁ|хватать
|la énergie|enɛʁʒi|энергия
|le réseau|ʁezo|сеть
|mourir|muʁiʁ|умирать
