# 142 - Mots fréquents

|déplorer|deplɔʁe|оплакивать
|mobiliser|mɔbilize|мобилизовать
|encadrer|ɑ̃kɑdʁe|кадрировать</td>
|gentil|ʒɑ̃ti, -ij|милый
|la folie|fɔli|безумие
|le terrorisme|teʁɔʁism|терроризм
|la illusion|i(l)lyzjɔ̃|иллюзия
|le portefeuille|pɔʁtəfœj|бумажник
|séduire|sedɥiʁ|совращать
|précipiter|pʁesipite|низвергать
|la clôture|klotyʁ|ограда
|piloter|pilɔte|вести
|agréable|agʁeabl|приятный
|la télécommunication|telekɔmynikasjɔ̃|телекоммуникация
|le désaccord|dezakɔʁ|разногласие
|le uranium|yʁanjɔm|уран
|le aliment|alimɑ̃|продукт питания
|la alimentation|alimɑ̃tasjɔ̃|питание
|la pomme|pɔm|яблоко
|ingénieur|ɛ̃ʒenjœʁ|инженер
