# 183 - Mots fréquents

|physiquement|fizikmɑ̃|физически
|minimal|minimal, -o|минимальный
|le fossé|fose|ров
|le dépens|depɑ̃|издержки
|implanter|ɛ̃plɑ̃te|имплантировать
|descendant|desɑ̃dɑ̃, -t|нисходящий
|politiquement|pɔlitikmɑ̃|политически
|crever|kʁəve|погибать
|la interruption|ɛ̃teʁypsjɔ̃|прерывание
|polonais|pɔlɔnɛ, -z|польский
|la patrie|patʁi|отечество
|le prélèvement|pʁelɛvmɑ̃|взимание
|le ex|ɛks|бывший муж
|le studio|stydjo|студия
|la intégrité|ɛ̃tegʁite|целостность
|prescrire|pʁɛskʁiʁ|предписывать
|exhorter|ɛgzɔʁte|призывать
|la tribu|tʁiby|племя
|le globe|glɔb|шар
|apaiser|apeze|успокаивать
