# 004 - Mots fréquents

|me|mə|мне
|moins|mwɛ̃|меньше
|aucun|okœ̃, -yn|никто
|lui|lɥi|ему
|le temps|tɑ̃|время
|très|tʁɛ|очень
|savoir|savwaʁ|знать
|falloir|falwaʁ|надлежать
|voir|vwaʁ|видеть
|quelque|kɛlk(ə)|какой-нибудь
|sans|sɑ̃|без
|la raison|ʁɛzɔ̃|разум, рассудок
|notre|nɔtʁ|наш
|dont|dɔ̃|который
|non|nɔ̃|нет
|le an|ɑ̃|год
|le monde|mɔ̃d|мир
|le jour|ʒuʁ|день
|le monsieur|məsjø|господин
|demander|d(ə)mɑ̃de|просить
