# 080 - Mots fréquents

|peser|pəze|взвешивать
|média|medja|средство информации
|le hiver|ivɛʁ|зима
|la définition|definisjɔ̃|определение
|le spécialiste|spesjalist|специалист
|le mari|maʁi|муж
|supprimer|sypʁime|ликвидировать
|guère|gɛʁ|не особенно
|douter|dute|сомневаться
|ressentir|ʁəsɑ̃tiʁ|чувствовать
|sexuel|sɛksɥɛl|сексуальный
|consulter|kɔ̃sylte|консультироваться
|le renseignement|ʁɑ̃sɛɲmɑ̃|сведения
|âgé|ɑʒe|пожилой
|le fonctionnement|fɔ̃ksjɔnmɑ̃|функционирование
|le garçon|gaʁsɔ̃|мальчик
|parfait|paʁfɛ, -t|совершенный
|résumer|ʁezyme|резюмировать
|la prévision|pʁevizjɔ̃|предвидение
|quatrième|katʁijɛm|четвёртый
