# 065 - Mots fréquents

|qualifier|kalifje|квалифицировать
|absolu|apsɔly|абсолютный
|dégager|degaʒe|освобождать
|la stratégie|stʁateʒi|стратегия
|le bateau|bato|лодка
|le printemps|pʁɛ̃tɑ̃|весна
|la course|kuʁs|бег, ход
|le exercice|ɛgzɛʁsis|упражнение
|fondamental|fɔ̃damɑ̃tal, -o|фундаментальный
|le visage|vizaʒ|лицо
|la droite|dʁwɑt|право
|la machine|maʃin|машина
|le village|vilaʒ|деревня
|britannique|bʁitanik|британский
|surveiller|syʁveje|надзирать
|la édition|edisjɔ̃|издание
|le organisme|ɔʁganism|организм
|la leçon|l(ə)sɔ̃|урок
|accomplir|akɔ̃pliʁ|совершать
|décevoir|des(ə)vwaʁ|разочаровывать
