# 222 - Mots fréquents

|relâcher|ʁ(ə)lɑʃe|ослаблять
|le visa|viza|виза
|vingt|vɛ̃|двадцать
|le péché|peʃe|грех
|gendarme|ʒɑ̃daʁm|жандарм
|la sécheresse|sɛʃʁɛs|засуха
|le score|skɔʁ|счёт
|goûter|gute|пробовать
|renier|ʁənje|отвергать
|la juridiction|ʒyʁidiksjɔ̃|юрисдикция
|la prostitution|pʁɔstitysjɔ̃|проституция
|la fiche|fiʃ|карточка
|le déséquilibre|dezekilibʁ|нарушение равновесия
|la probabilité|pʁɔbabilite|вероятность
|entraver|ɑ̃tʁave|спутывать
|sous|su|под
|le embargo|ɑ̃baʁgo|эмбарго
|interdit|ɛ̃tɛʁdi, -t|запрещённый
|le brouillard|bʁujaʁ|туман
|syrien|siʁjɛ̃, -jɛn|сирийский
