# 146 - Mots fréquents

|calmer|kalme|успокаивать
|le mythe|mit|миф
|la alternative|altɛʁnativ|чередование
|soulager|sulaʒe|облегчать
|le scrutin|skʁytɛ̃|выборы
|la culpabilité|kylpabilite|виновность
|considérablement|kɔ̃sideʁabləmɑ̃|значительно
|bouleverser|bulvɛʁse|перевернуть
|la introduction|ɛ̃tʁɔdyksjɔ̃|введение
|dramatique|dʁamatik|драматический
|vaincre|vɛ̃kʁ|побеждать
|la pétition|petisjɔ̃|петиция
|renseigner|ʁɑ̃seɲe|осведомлять
|la ordonnance|ɔʁdɔnɑ̃s|распределение
|la aile|ɛl|крыло
|la température|tɑ̃peʁatyʁ|температура
|la coupe|kup|кубок
|le rayon|ʁɛjɔ̃|луч
|la lèvre|lɛvʁ|губа
|promener|pʁɔm(ə)ne|гулять
