# 001 - Mots fréquents

|le|lə|артикль м.р.
|de|də|принадлежность, из
|un|œ̃, yn|один
|à|a|отношение, к
|être|ɛtʁ|быть
|et|e|и
|en|ɑ̃|из (de cela)
|avoir|avwaʁ|иметь
|que|kə|что?
|pour|puʁ|для, ради
|dans|dɑ̃|вдоль
|ce|sə|это, то
|il|il|он
|qui|ki|кто?
|ne|nə|не
|sur|syʁ|на
|se|sə|-ся, себя
|pas|pɑ|не
|plus|plys|больше
|pouvoir|puvwaʁ|мочь
