# 230 - Mots fréquents

|le vélo|velo|велосипед
|la fatigue|fatig|усталость
|la instabilité|ɛ̃stabilite|неустойчивость
|pénaliser|penalize|наказывать
|le comte|kɔ̃t, -ɛs|граф
|amer|amɛʁ|горький
|le orchestre|ɔʁkɛstʁ|оркестр
|foncier|fɔ̃sje, -jɛʁ|присущий
|dixième|dizjɛm|десятый
|le est|ɛst|восток
|envelopper|ɑ̃v(ə)lɔpe|завёртывать
|troublant|tʁublɑ̃, -t|смущающий
|irrégulier|iʁegylje, -jɛʁ|неправильный
|le fouet|fwɛ|кнут
|baigner|beɲe|купать
|la fixation|fiksasjɔ̃|фиксация
|le encadrement|ɑ̃kɑdʁəmɑ̃|обрамление
|déménager|demenaʒe|переезжать
|esthétique|ɛstetik|эстетический
|photographier|fɔtɔgʁafje|фотографировать
