# 102 - Mots fréquents

|grec|gʁɛk|греческий
|secondaire|s(ə)gɔ̃dɛʁ|второстепенный
|le reporter|ʁ(ə)pɔʁtɛʁ|репортёр
|le partisan|paʁtizɑ̃, -an|сторонник
|cinquième|sɛ̃kjɛm|пятый
|la distinction|distɛ̃ksjɔ̃|различение
|le impact|ɛ̃pakt|удар
|le magazine|magazin|журнал
|compléter|kɔ̃plete|дополнять
|le mérite|meʁit|заслуга
|naturellement|natyʁɛlmɑ̃|натурально
|la collaboration|kɔ(l)labɔʁasjɔ̃|сотрудничество
|procurer|pʁɔkyʁe|добывать
|le officier|ɔfisje, -jɛʁ|чиновник
|remarquable|ʁ(ə)maʁkabl|замечательный
|efforcer|efɔʁse|стараться
|tragique|tʁaʒik|трагический
|le anniversaire|anivɛʁsɛʁ|годовщина
|la issu|isy|исход
|la poursuite|puʁsɥit|преследование
