# 046 - Mots fréquents

|probablement|pʁɔbabləmɑ̃|вероятно
|le voyage|vwajaʒ|путешествие
|sept|sɛt|семь
|la marche|maʁʃ|ходьба
|la vérité|veʁite|правда
|commercial|kɔmɛʁsjal, -jo|торговый
|critique|kʁitik|критический
|le ministère|ministɛʁ|министерство
|baisser|bese|опускать
|la somme|sɔm|сумма
|la culture|kyltyʁ|культура
|cacher|kaʃe|прятать
|prêter|pʁete|одалживать
|définir|definiʁ|определять
|le client|klijɑ̃, -t|клиент
|exposer|ɛkspoze|выставлять
|le progrès|pʁɔgʁɛ|прогресс
|le  secrétaire|s(ə)kʁetɛʁ|секретарь
|la mer|mɛʁ|море
|rapporter|ʁapɔʁte|приносить
