# 054 - Mots fréquents

|sensible|sɑ̃sibl|чувствительный
|le étudiant|etydjɑ̃; ɑ̃t|студент
|la vitesse|vitɛs|скорость
|malade|malad|больной
|la portée|pɔʁte|досягаемость
|le élève|elɛv|ученик
|contrôler|kɔ̃tʁole|контролировать
|merci|mɛʁsi|спасибо
|certainement|sɛʁtɛnmɑ̃|конечно
|la visite|vizit|визит
|la assemblée|asɑ̃ble|собрание
|la émission|emisjɔ̃|испускание
|la arrivée|aʁive|прибытие
|la puissance|pɥisɑ̃s|власть
|le partenaire|paʁtənɛʁ|партнёр
|contenter|kɔ̃tɑ̃te|удовлетворять
|la perte|pɛʁt|потеря
|libéral|libeʁal, -o|либеральный
|le citoyen|sitwajɛ̃, -ɛn|гражданин
|citer|site|цитировать
