# 002 - Mots fréquents

|par|paʁ|посредством
|je|ʒə|я
|avec|avɛk|с
|tout|tu, -t|весь
|faire|fɛʁ|делать
|son|sɔ̃|его (её)
|mettre|mɛtʁ|ставить
|autre|otʁ|другой
|on|ɔ̃|некто (homme)
|mais|mɛ|но
|nous|nu|мы
|comme|kɔm|как
|ou|u|или
|si|si|если
|leur|lœʁ|их
|y|i|там
|dire|diʁ|говорить
|elle|ɛl|она
|devoir|d(ə)vwaʁ|быть должным
|avant|avɑ̃|перёд
