# 227 - Mots fréquents

|successivement|syksesivmɑ̃|последовательно
|assurément|asyʁemɑ̃|конечно
|la provision|pʁɔvizjɔ̃|запас
|amplifier|ɑ̃plifje|преувеличивать
|la ceinture|sɛ̃tyʁ|пояс
|intergouvernemental|ɛ̃tɛʁguvɛʁnəmɑ̃tal, -o|межправительственный
|la délibération|delibeʁasjɔ̃|обсуждение
|mexicain|mɛksikɛ̃, -ɛn|мексиканский
|le seigneur|sɛɲœʁ|сеньор
|saisonnier|sɛzɔnje, -jɛʁ|сезонный
|souterrain|suteʁɛ̃, -ɛn|подземный
|la merveille|mɛʁvɛj|чудо
|restituer|ʁɛstitɥe|возвращать
|le démon|demɔ̃|демон
|balancer|balɑ̃se|качать
|la disponibilité|dispɔnibilite|незанятость
|infiniment|ɛ̃finimɑ̃|бесконечно
|acquis|aki, -z|приобретённый
|le récepteur|ʁesɛptœʁ, -ʁis|приёмник
|le glissement|glismɑ̃|скольжение
