# 069 - Mots fréquents

|renoncer|ʁ(ə)nɔ̃se|отказываться
|le roi|ʁwa|король
|soi|swa|сам
|le téléphone|telefɔn|телефон
|net|nɛt|чистый
|la foi|fwa|вера
|le motif|mɔtif|мотив
|plaindre|plɛ̃dʁ|жалеть
|la tradition|tʁadisjɔ̃|традиция
|le institut|ɛ̃stity|институт
|la victoire|viktwaʁ|победа
|le arrêt|aʁɛ|остановка
|concours|kɔ̃kuʁ|содействие
|la vis|vis|винт
|aboutir|abutiʁ|примыкать
|visiter|vizite|посещать
|elle|ɛl|она
|démocratique|demɔkʁatik|демократический
|la tentative|tɑ̃tativ|попытка
|largement|laʁʒəmɑ̃|широко
