# 126 - Mots fréquents

|alimenter|alimɑ̃te|питать
|intelligent|ɛ̃teliʒɑ̃, -t|умный
|équilibrer|ekilibʁe|уравновешивать
|la bibliothèque|biblijɔtɛk|библиотека
|absurde|apsyʁd|абсурдный
|le océan|ɔseɑ̃|океан
|dicter|dikte|диктовать
|le tenant|tənɑ̃, -t|обладатель
|stable|stabl|стабильный
|le capitaine|kapitɛn|капитан
|solliciter|sɔlisite|склонять
|convoquer|kɔ̃vɔke|созывать
|la prévention|pʁevɑ̃sjɔ̃|предотвращение
|terrestre|teʁɛstʁ|земной
|le utilisateur|ytilizatœʁ, -ʁis|пользователь
|obligatoire|ɔbligatwaʁ|обязательный
|terminal|tɛʁminal, -o|конечный
|choquer|ʃɔke|шокировать
|primaire|pʁimɛʁ|первичный
|vital|vital, -o|витальный
