# 234 - Mots fréquents

|le réservoir|ʁezɛʁvwaʁ|водоём
|le aveu|avø|признание
|emmerder|ɑ̃mɛʁde|приставать
|la inondation|inɔ̃dasjɔ̃|наводнение
|le câble|kɑbl|кабель
|le poumon|pumɔ̃|лёгкое
|humble|œ̃bl|смиренный
|la perturbation|pɛʁtyʁbasjɔ̃|расстройство
|brouiller|bʁuje|смешивать
|la illustration|i(l)lystʁasjɔ̃|иллюстрация
|appliqué|aplike|прикладной
|le fermier|fɛʁmje, -jɛʁ|фермер
|hanter|ˈɑ̃te|преследовать
|le cordon|kɔʁdɔ̃|шнур
|néfaste|nefast|злосчастный
|lasser|lɑse|утомлять
|influer|ɛ̃flye|влиять
|présentement|pʁezɑ̃tmɑ̃|теперь
|plate|plat|плоский
|stopper|stɔpe|останавливаться
