# 08 - h

|hang hung hung|hæŋ hʌŋ hʌŋ|висеть/развешивать
|have had had|hæv hæd hæd|иметь
|hear heard heard|hiə hз:d hз:d|слышать
|heave heaved heaved|hi:v hi:vd hi:vd|подымать
|hew hewed hewn|hju: hju:d hju:n|рубить/тесать
|hide hid hidden|haid hid 'hidn|прятать
|hit hit hit|hit hit hit|попадать в цель
|hold held held|həuld held held|держать
|hurt hurt hurt|hз:t hз:t hз:t|ушибить
