# 04 - d

|deal dealt dealt|di:l delt delt|иметь дело
|dig dug dug|dɪg dʌg dʌg|копать
|dive dived dived|daɪv daɪvd daɪvd|нырять
|do did done|du: did dʌn|делать
|draw drew drawn|drɔ: dru: drɔ:n|рисовать/тащить
|dream dreamt dreamt|dri:m dremt dremt|мечтать/дремать
|drink drank drunk|driŋk dræŋk drʌŋk|пить
|drive drove driven|draiv drəuv 'drivn|водить
|dwell dwelt dwelt|dwel dwelt dwelt|обитать
