# 18 - IELTS Words

|dignified|ˈdɪɡnɪfaɪd|величавый, горделивый
|bare|beə|голый, обнаженный + перемен.
|atop|əˈtɒp|наверху
|lush|lʌʃ|сочный, буйный, пышный
|medieval|ˌmedɪˈi:vl|средневековый
|dismantle|dɪsˈmæntl|демонтировать
|marvel|ˈmɑ:vl|неожиданное, необычное
|splendour|ˈsplendə|блеск, сверкание
|bygone|ˈbaɪɡɒn|прошлый, пережитой
|narrative|ˈnærətɪv|рассказ; повесть
|justification|ʤʌstɪfɪˈkeɪʃn|оправдание
|fascinating|ˈfæsɪneɪtɪŋ|очаровательный, пленительный
|maze|meɪz|лабиринт
|wander|ˈwɒndə|бродить, странствовать, скитаться
|timbered|ˈtɪmbəd|деревянный
|intricate|ˈɪntrɪkət|запутанный, сложный, замысловатый
|painstaking|ˈpeɪnzteɪkɪŋ|старание, старательность, усердие
|splendour|ˈsplendə|блеск, сверкание
|reminiscent|remɪˈnɪsnt|напоминающий
|congested|kənˈʤestɪd|переполненный; перенаселенный
|ornate|ɔ:ˈneɪt|богато украшенный
|promenade|ˌprɒməˈnɑ:d|прогулка; гулянье
|lavish|ˈlævɪʃ|обильный; богатый
|nevertheless|nevəðəˈles|все же, все-таки, тем не менее
|ageing|ˈeɪʤɪŋ|старение
