# C2 - 129 - die Substantive


|die Projektion|der Projektion&emsp;die Projektionen|проекция

|die Sorgfalt|der Sorgfalt&emsp;die Sorgfalten|тщательность

|die Investition|der Investition&emsp;die Investitionen|инвестиция

|die Benennung|der Benennung&emsp;die Benennungen|наименование

|die Konsensfähigkeit|der Konsensfähigkeit&emsp;die Konsensfähigkeiten|способность к согласию

|die Durchführbarkeit|der Durchführbarkeit&emsp;die Durchführbarkeiten|осуществимость

|die Prominenz|der Prominenz&emsp;die Prominenzen|известность

|die Habilitation|der Habilitation&emsp;die Habilitationen|хабилитация

|die Herangehensweise|der Herangehensweise&emsp;die Herangehensweisen|подход

|die Abneigung|der Abneigung&emsp;die Abneigungen|неприязнь
