# A1 - 006 - die Substantive


|das Haus|des Hauses&emsp;die Häuser|дом

|das Bild|des Bildes&emsp;die Bilder|

|der Doktor|des Doktors&emsp;die Doktoren|доктор

|die Miete|der Miete&emsp;die Mieten|аренда

|der Fluss|des Flusses&emsp;die Flüsse|река

|die Halle|der Halle&emsp;die Hallen|зал

|der Teppich|des Teppichs&emsp;die Teppiche|ковёр

|der Comic|des Comics&emsp;die Comics|комикс

|die Tomate|der Tomate&emsp;die Tomaten|помидор

|der Essig|des Essigs&emsp;die Essige|уксус
