# A1 - 018 - die Substantive


|die Tastatur|der Tastatur&emsp;die Tastaturen|клавиатура

|das Ende|des Endes&emsp;die Enden|конец

|die Wohnung|der Wohnung&emsp;die Wohnungen|квартира

|der Drucker|des Druckers&emsp;die Drucker|принтер

|die Schule|der Schule&emsp;die Schulen|школа

|das Boot|des Bootes&emsp;die Boote|лодка

|der Tee|des Tees&emsp;die Tees|чай

|die Linie|der Linie&emsp;die Linien|линия

|der Park|des Parks&emsp;die Parks|парк

|der Laptop|des Laptops&emsp;die Laptops|ноутбук
