# A2 - 043 - die Substantive


|das Haar|des Haares&emsp;die Haare|волос

|die Halbpension|der Halbpension&emsp;die Halbpensionen|полупансион

|das Handtuch|des Handtuches&emsp;die Handtücher|полотенце

|die Hauptsache|der Hauptsache&emsp;die Hauptsachen|главное

|der Haushalt|des Haushalts&emsp;die Haushalte|домашнее хозяйство

|die Heimat|der Heimat&emsp;die Heimaten|родина

|der Honig|des Honigs&emsp;die Honige|мед

|das Hotel|des Hotels&emsp;die Hotels|отель

|der Hut|des Hutes&emsp;die Hüte|шляпа

|die Idee|der Idee&emsp;die Ideen|идея
