# C2 - 123 - die Substantive


|die Präsenz|der Präsenz&emsp;die Präsenzen|присутствие

|die Behaglichkeit|der Behaglichkeit&emsp;die Behaglichkeiten|уют

|die Ausweitung|der Ausweitung&emsp;die Ausweitungen|расширение

|die Disposition|der Disposition&emsp;die Dispositionen|расположение

|die Belastbarkeit|der Belastbarkeit&emsp;die Belastbarkeiten|выносливость

|die Demonstration|der Demonstration&emsp;die Demonstrationen|демонстрация

|die Befindlichkeit|der Befindlichkeit&emsp;die Befindlichkeiten|самочувствие

|die Jubiläumsschrift|der Jubiläumsschrift&emsp;die Jubiläumsschriften|юбилейный сборник

|die Profitabilität|der Profitabilität&emsp;die Profitabilitäten|рентабельность

|die Festschreibung|der Festschreibung&emsp;die Festschreibungen|закрепление
