# A1 - 028 - die Substantive


|der Cent|des Cents&emsp;die Cents|цент

|die Bibliothek|der Bibliothek&emsp;die Bibliotheken|библиотека

|der Koffer|des Koffers&emsp;die Koffer|чемодан

|der Ehemann|des Ehemanns&emsp;die Ehemänner|муж

|die Bedeutung|der Bedeutung&emsp;die Bedeutungen|значение

|das Genre|des Genres&emsp;die Genres|жанр

|das Herz|des Herzens&emsp;die Herzen|сердце

|die Glühbirne|der Glühbirne&emsp;die Glühbirnen|лампочка

|die Kirsche|der Kirsche&emsp;die Kirschen|вишня

|das Hemd|des Hemdes&emsp;die Hemden|рубашка
