# B1 - 070 - die Substantive


|die Disko|der Disko&emsp;die Diskos|дискотека

|die Komödie|der Komödie&emsp;die Komödien|комедия

|das Gebirge|des Gebirges&emsp;die Gebirge|горы

|die Qualität|der Qualität&emsp;die Qualitäten|качество

|die Chance|der Chance&emsp;die Chancen|шанс

|die Mode|der Mode&emsp;die Moden|мода

|die Einleitung|der Einleitung&emsp;die Einleitungen|введение

|die Nuss|der Nuss&emsp;die Nüsse|орех

|die Konkurrenz|der Konkurrenz&emsp;die Konkurrenzen|конкуренция

|die Kopie|der Kopie&emsp;die Kopien|копия
