# C2 - 119 - die Substantive


|die Kontinuität|der Kontinuität&emsp;die Kontinuitäten|непрерывность

|die Ehrfurcht|der Ehrfurcht&emsp;die Ehrfurchten|почтение

|die Berichterstattung|der Berichterstattung&emsp;die Berichterstattungen|освещение

|die Hervorhebung|der Hervorhebung&emsp;die Hervorhebungen|подчеркивание

|die Ausarbeitung|der Ausarbeitung&emsp;die Ausarbeitungen|разработка

|die Absperrung|der Absperrung&emsp;die Absperrungen|ограждение

|die Eigenständigkeit|der Eigenständigkeit&emsp;die Eigenständigkeiten|самостоятельность

|die Zuhilfenahme|der Zuhilfenahme&emsp;die Zuhilfenahmen|использование

|die Bestimmung|der Bestimmung&emsp;die Bestimmungen|определение

|die Erwägung|der Erwägung&emsp;die Erwägungen|рассмотрение
