# B2 - 087 - die Substantive


|der Griff|des Griffs&emsp;die Griffe|хватка

|die Diskussion|der Diskussion&emsp;die Diskussionen|обсуждение

|der Kontext|des Kontexts&emsp;die Kontexte|контекст

|die Ähnlichkeit|der Ähnlichkeit&emsp;die Ähnlichkeiten|схожесть

|die Bemerkung|der Bemerkung&emsp;die Bemerkungen|замечание

|das Klima|des Klimas&emsp;die Klimata|климат

|der Konflikt|des Konflikts&emsp;die Konflikte|конфликт

|die Umfrage|der Umfrage&emsp;die Umfragen|опрос

|die Politik|der Politik&emsp;die Politiken|политика

|die Begegnung|der Begegnung&emsp;die Begegnungen|встреча
