# A2 - 049 - die Substantive


|die Anweisung|der Anweisung&emsp;die Anweisungen|указание

|der Anwalt|des Anwalts&emsp;die Anwälte|адвокат

|der Apparat|des Apparates&emsp;die Apparate|аппарат

|das Aquarium|des Aquariums&emsp;die Aquarien|аквариум

|die Arbeitserlaubnis|der Arbeitserlaubnis&emsp;die Arbeitserlaubnisse|разрешение на работу

|das Archiv|des Archivs&emsp;die Archive|архив

|die Architektur|der Architektur&emsp;die Architekturen|архитектура

|der Asphalt|des Asphalts&emsp;die Asphalte|асфальт

|die Astrologie|der Astrologie&emsp;die Astrologien|астрология

|das Atelier|des Ateliers&emsp;die Ateliers|ателье
