# A2 - 063 - die Substantive


|der Masseur|des Masseurs&emsp;die Masseure|массажист

|die Mauer|der Mauer&emsp;die Mauern|стена

|der Mechaniker|des Mechanikers&emsp;die Mechaniker|механик

|die Medaille|der Medaille&emsp;die Medaillen|медаль

|das Medikament|des Medikaments&emsp;die Medikamente|медикамент

|das Medium|des Mediums&emsp;die Medien|средство массовой информации

|die Meinung|der Meinung&emsp;die Meinungen|мнение

|die Mine|der Mine&emsp;die Minen|шахта

|der Mist|des Mistes&emsp;die Miste|навоз

|das Mitleid|des Mitleides&emsp;die Mitleide|сострадание
