das Obst
des Obstes
die Frucht
des Frucht
die Früchte
der Apfel
des Apfels
die Äpfel
die Birne
der Birne
die Birnen
die Kirsche
der Kirsche
die Kirschen
die Pflaume
der Pflaume
die Pflaumen
die Traube
der Traube
die Trauben
die Aprikose
der Aprikose
die Aprikosen
der Pfirsich
des Pfirsichs
die Pfirsiche
die Orange
der Orange
die Orangen
die Mandarine
der Mandarine
die Mandarinen
die Grapefruit
der Grapefruit
die Grapefruits
die Zitrone
der Zitrone
die Zitronen
die Erdbeere
der Erdbeere
die Erdbeeren
die Himbeere
der Himbeere
die Himbeeren
die Banane
der Banane
die Bananen
die Ananas
der Ananas
die Ananas
die Mango
der Mango
die Mangos
die Kiwi
der Kiwi
die Kiwis
die Wassermelone
der Wassermelone
die Wassermelonen
