# 223 - Mots fréquents

|le jet|ʒɛ|бросание
|la trêve|tʁɛv|перемирие
|le occupant|ɔkypɑ̃, -t|оккупант
|ponctuel|pɔ̃ktɥɛl|пунктуальный
|défini|defini|определённый
|le détachement|detaʃmɑ̃|отделение
|le manuscrit|manyskʁi, -t|рукопись
|le panier|panje|корзина
|le bouton|butɔ̃|почка
|immobile|i(m)mɔbil|неподвижный
|la fermeté|fɛʁməte|твёрдость
|véhiculer|veikyle|возить
|répliquer|ʁeplike|отвечать
|passionnant|pasjɔnɑ̃, -t|захватывающий
|la théologie|teɔlɔʒi|теология
|advenir|advəniʁ|случаться
|immigrer|imigʁe|иммигрировать
|la tache|taʃ|пятно
|la tendresse|tɑ̃dʁɛs|нежность
|privilégié|pʁivileʒje|привилегированный
