# 003 - Mots fréquents

|deux|dø|два
|même|mɛm|тот же
|prendre|pʁɑ̃dʁ|брать
|aussi|osi|также
|celui|səlɥi|этот
|donner|dɔne|давать
|bien|bjɛ̃|хорошо
|où|u|где
|fois|fwa|раз
|vous|vu|вы
|encore|ɑ̃kɔʁ|ещё
|nouveau|nuvo, nuvɛl|новый
|aller|ale|ходить
|cela|s(ə)la|это
|entre|ɑ̃tʁ|между
|premier|pʁəmje, -jɛʁ|первый
|vouloir|vulwaʁ|хотеть, желать
|déjà|deʒa|уже
|grand|gʁɑ̃, gʁɑ̃d|большой
|mon|mɔ̃|мой
