# 023 - Mots fréquents

|le but|by(t)|цель
|le matin|matɛ̃|утро
|grave|gʁav|тяжёлый
|la prise|pʁiz|взятие
|européen|øʁɔpeɛ̃, -ɛn|европеец
|la étude|etyd|изучение
|le principe|pʁɛ̃sip|принцип
|remplacer|ʁɑ̃plase|заменять
|avancer|avɑ̃se|продвигаться
|six|sis|шесть
|nécessaire|nesesɛʁ|нужный
|la activité|aktivite|деятельность
|la valeur|valœʁ|стоимость
|marquer|maʁke|отмечать
|entier|ɑ̃tje, -jɛʁ|целый
|la réponse|ʁepɔ̃s|ответ
|la aide|ɛd|помощь
|principal|pʁɛ̃sipal, -o|главный
|élever|el(ə)ve|повышать
|pourtant|puʁtɑ̃|тем не менее
