# 238 - Mots fréquents

|hâter|ˈɑte|ускорять
|la mobilité|mɔbilite|подвижность
|exclu|ɛkskly|исключённый
|boucher|buʃe|затыкать
|bénéfique|benefik|благоприятный
|le commencement|kɔmɑ̃smɑ̃|начало
|le licenciement|lisɑ̃simɑ̃|увольнение
|le chancelier|ʃɑ̃səlje|канцлер
|la retenue|ʁ(ə)təny|сдержанность
|la visée|vize|визирование
|la dénonciation|denɔ̃sjasjɔ̃|денонсирование
|la plaie|plɛ|рана
|exiler|ɛgzile|изгонять
|le rocher|ʁɔʃe|скала
|la mortalité|mɔʁtalite|смертность
|la cruauté|kʁyote|жестокость
|regrettable|ʁ(ə)gʁetabl|достойный сожаления
|droguer|dʁɔge|напоить наркотиками
|connecter|kɔnɛkte|соединять
|le confort|kɔ̃fɔʁ|комфорт
