# 157 - Mots fréquents

|anonyme|anɔnim|анонимный
|cibler|sible|метить
|additionnel|adisjɔnɛl|добавочный
|le excès|ɛksɛ|излишек
|la douzaine|duzɛn|дюжина
|turc|tyʁk|турецкий
|incertain|ɛ̃sɛʁtɛ̃, -ɛn|неуверенный
|épouser|epuze|жениться
|le consensus|kɔ̃sɛ̃sys|консенсус
|le chat|ʃa, -t|кот
|le avertissement|avɛʁtismɑ̃|объявление
|le excédent|ɛksedɑ̃|излишек
|la mondialisation|mɔ̃djalizasjɔ̃|глобализация
|conventionnel|kɔ̃vɑ̃sjɔnɛl|условный
|la unanimité|ynanimite|единодушие
|romain|ʁɔmɛ̃, -ɛn|романский
|la inégalité|inegalite|неравенство
|originaire|ɔʁiʒinɛʁ|происходящий
|finale|final|окончательный
|la mademoiselle|mad(ə)mwazɛl|барышня
