# A2 - 054 - die Substantive


|der Druck|des Drucks&emsp;die Drücke|давление

|der Eingang|des Eingangs&emsp;die Eingänge|вход

|der Eindruck|des Eindrucks&emsp;die Eindrücke|впечатление

|die Einladung|der Einladung&emsp;die Einladungen|приглашение

|die Einrichtung|der Einrichtung&emsp;die Einrichtungen|учреждение

|der Einwohner|des Einwohners&emsp;die Einwohner|житель

|die Einzelheit|der Einzelheit&emsp;die Einzelheiten|деталь

|der Elternabend|des Elternabends&emsp;die Elternabende|родительское собрание

|die Endung|der Endung&emsp;die Endungen|окончание

|das Engagement|des Engagements&emsp;die Engagements|обязательство
