# A1 - 030 - die Substantive


|der Apfel|des Apfels&emsp;die Äpfel|яблоко

|das Regal|des Regals&emsp;die Regale|полка

|das Telefon|des Telefons&emsp;die Telefone|телефон

|die Musik|der Musik&emsp;die Musiken|музыка

|der Mensch|des Menschen&emsp;die Menschen|человек

|die Brille|der Brille&emsp;die Brillen|очки

|die Malerei|der Malerei&emsp;die Malereien|живопись

|die Woche|der Woche&emsp;die Wochen|неделя

|die Maus|der Maus&emsp;die Mäuse|мышь

|die Wand|der Wand&emsp;die Wände|стена
