# B1 - 072 - die Substantive


|der Klang|des Klanges&emsp;die Klänge|звук

|das Brett|des Brettes&emsp;die Bretter|доска

|der Abstand|des Abstands&emsp;die Abstände|расстояние

|die Flasche|der Flasche&emsp;die Flaschen|бутылка

|die Lust|der Lust&emsp;die Lüste|желание

|die Natur|der Natur&emsp;die Naturen|природа

|das Glied|des Gliedes&emsp;die Glieder|член

|der Platz|des Platzes&emsp;die Plätze|место

|die Antwort|der Antwort&emsp;die Antworten|ответ

|der Braten|des Bratens&emsp;die Braten|жаркое
