# B2 - 094 - die Substantive


|die Institution|der Institution&emsp;die Institutionen|учреждение

|die Verteilung|der Verteilung&emsp;die Verteilungen|распределение

|die Benachrichtigung|der Benachrichtigung&emsp;die Benachrichtigungen|уведомление

|die Verbesserung|der Verbesserung&emsp;die Verbesserungen|улучшение

|das Bedürfnis|des Bedürfnisses&emsp;die Bedürfnisse|потребность

|die Präsentation|der Präsentation&emsp;die Präsentationen|презентация

|die Stabilität|der Stabilität&emsp;die Stabilisierungen|стабильность

|die Kultur|der Kultur&emsp;die Kulturen|культура

|die Reform|der Reform&emsp;die Reformen|реформа

|die Begeisterung|der Begeisterung&emsp;die Begeisterungen|восторг
