# A1 - 022 - die Substantive


|das Kissen|des Kissens&emsp;die Kissen|подушка

|das Kind|des Kindes&emsp;die Kinder|ребенок

|der Kopf|des Kopfes&emsp;die Köpfe|голова

|die Haltestelle|der Haltestelle&emsp;die Haltestellen|остановка

|das Ei|des Eies&emsp;die Eier|яйцо

|die Firma|der Firma&emsp;die Firmen|компания

|das Land|des Landes&emsp;die Länder|страна

|der Bruder|des Bruders&emsp;die Brüder|брат

|das Wasser|des Wassers&emsp;die Wasser|вода

|die Zahl|der Zahl&emsp;die Zahlen|число
