# B2 - 088 - die Substantive


|die Norm|der Norm&emsp;die Normen|норма

|der Prozess|des Prozesses&emsp;die Prozesse|процесс

|die Kooperation|der Kooperation&emsp;die Kooperationen|сотрудничество

|die Grundlage|der Grundlage&emsp;die Grundlagen|основа

|die Wahrnehmung|der Wahrnehmung&emsp;die Wahrnehmungen|восприятие

|die Wiederholung|der Wiederholung&emsp;die Wiederholungen|повторение

|die Relevanz|der Relevanz&emsp;die Relevanzen|значимость

|die Option|der Option&emsp;die Optionen|опция

|der Wettbewerb|des Wettbewerbs&emsp;die Wettbewerbe|соревнование

|die Häufigkeit|der Häufigkeit&emsp;die Häufigkeiten|частота
