# A1 - 001 - die Substantive


|der Tisch|des Tisches&emsp;die Tische|стол

|die Bahn|der Bahn&emsp;die Bahnen|поезд

|der Zucker|des Zuckers&emsp;die Zucker|сахар

|das Fieber|des Fiebers&emsp;die Fieber|температура

|das Brot|des Brotes&emsp;die Brote|хлеб

|die Liebe|der Liebe&emsp;die Lieben|любовь

|das Papier|des Papieres&emsp;die Papiere|бумага

|die Band|der Band&emsp;die Bands|группа

|der Helfer|des Helfers&emsp;die Helfer|помощник

|der Vogel|des Vogels&emsp;die Vögel|птица
