# C2 - 125 - die Substantive


|die Amortisation|der Amortisation&emsp;die Amortisationen|амортизация

|die Leistungsbereitschaft|der Leistungsbereitschaft&emsp;die Leistungsbereitschaften|готовность к работе

|die Objektivität|der Objektivität&emsp;die Objektivitäten|объективность

|die Förderrichtlinie|der Förderrichtlinie&emsp;die Förderrichtlinien|директива по поддержке

|die Ausschmückung|der Ausschmückung&emsp;die Ausschmückungen|украшение

|die Anmerkung|der Anmerkung&emsp;die Anmerkungen|замечание

|die Einbuße|der Einbuße&emsp;die Einbußen|потеря

|die Kapazität|der Kapazität&emsp;die Kapazitäten|емкость

|die Exklusion|der Exklusion&emsp;die Exklusionen|исключение

|die Begutachtung|der Begutachtung&emsp;die Begutachtungen|экспертиза
