# A2 - 053 - die Substantive


|der Bikini|des Bikinis&emsp;die Bikinis|бикини

|die Biologie|der Biologie&emsp;die Biologien|биология

|das Blatt|des Blattes&emsp;die Blätter|лист

|das Blut|des Blutes&emsp;die Blute|кровь

|die Blüte|der Blüte&emsp;die Blüten|цветок

|der Buchstabe|des Buchstabens&emsp;die Buchstaben|буква

|der Campingplatz|des Campingplatzes&emsp;die Campingplätze|кемпинг

|der Darm|des Darmes&emsp;die Därme|кишечник

|das Datum|des Datums&emsp;die Daten|дата

|der Donner|des Donners&emsp;die Donner|гром
