# A1 - 003 - die Substantive


|der Mittag|des Mittags&emsp;die Mittage|полдень

|der Zug|des Zuges&emsp;die Züge|поезд

|die Schwester|der Schwester&emsp;die Schwestern|сестра

|der Vorhang|des Vorhanges&emsp;die Vorhänge|штора

|der Plan|des Plans&emsp;die Pläne|план

|die Autobahn|der Autobahn&emsp;die Autobahnen|автомагистраль

|die Zeitschrift|der Zeitschrift&emsp;die Zeitschriften|журнал

|der Augenarzt|des Augenarztes&emsp;die Augenärzte|окулист

|die Region|der Region&emsp;die Regionen|регион

|der Umschlag|des Umschlages&emsp;die Umschläge|конверт
